id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,log_saleprice,log_gr_liv_area,log_garage_area,log_total_bsmt_sf,log_mas_vnr_area
109,533352170,60,RL,69.05520046484602,13517,Pave,NA,1,Lvl,0,CulDSac,0,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,3,1,6,533.0,1,0.0,192.0,726.0,GasA,5,Y,0,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,0,0,0,Attchd,1976.0,2,2.0,476.0,3,3,2,0,44,0,0,0,0,0,0,NA,0,3,2010,WD ,130500,11.779128505744886,7.2991214627108,6.16541785423142,6.587550014824796,5.66988092298052
544,531379050,60,RL,43.0,11492,Pave,NA,1,Lvl,0,CulDSac,0,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,3,1,6,637.0,1,0.0,276.0,914.0,GasA,5,Y,0,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,0,1,3,Attchd,1997.0,2,2.0,560.0,3,3,2,0,74,0,0,0,0,0,0,NA,0,4,2009,WD ,220000,12.301382825334498,7.660114319173928,6.327936783729195,6.81783057145415,4.890349128221754
153,535304180,20,RL,68.0,7922,Pave,NA,0,Lvl,0,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,1,0.0,326.0,1058.0,GasA,3,Y,0,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,0,0,0,Detchd,1953.0,1,1.0,247.0,3,3,2,0,52,0,0,0,0,0,0,NA,0,1,2010,WD ,109000,11.59910316121128,6.963189985870238,5.5093883366279774,6.964135612418245,0.0
318,916386060,60,RL,73.0,9802,Pave,NA,0,Lvl,0,Inside,0,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,384.0,385.0,GasA,4,Y,0,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,0,0,0,BuiltIn,2007.0,3,2.0,401.0,3,3,2,100,0,0,0,0,0,0,0,NA,0,4,2010,WD ,174000,12.066810578196666,7.275172319452771,5.993961427306569,5.953243334287785,0.0
255,906425045,50,RL,82.0,14235,Pave,NA,1,Lvl,0,Inside,0,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2,4,1,1,0.0,1,0.0,676.0,677.0,GasA,3,Y,0,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,0,0,0,Detchd,1957.0,1,2.0,485.0,3,3,0,0,59,0,0,0,0,0,0,NA,0,3,2010,WD ,138500,11.83862560460953,7.275864600546533,6.184148890937483,6.517671272912275,0.0
138,535126040,20,RL,137.0,16492,Pave,NA,1,Lvl,0,Corner,0,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,1,5,247.0,3,713.0,557.0,1518.0,GasA,5,Y,0,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,3,1,4,Attchd,1966.0,3,2.0,579.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,6,2010,WD ,190000,12.154779351142624,7.543273346705446,6.361302477572996,7.325148957955575,0.0
2827,908186070,180,RM,35.0,3675,Pave,NA,0,Lvl,0,Inside,0,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,4,6,547.0,1,0.0,0.0,548.0,GasA,4,Y,0,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,0,0,0,Basment,2005.0,3,2.0,526.0,3,3,2,0,44,0,0,0,0,0,0,NA,0,6,2006,New,140000,11.84939770159144,6.977281341630747,6.26530121273771,6.306275286948016,4.418840607796598
145,535154050,20,RL,69.05520046484602,12160,Pave,NA,1,Lvl,0,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,1,3,1000.0,1,0.0,188.0,1189.0,GasA,2,Y,0,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,0,0,0,Attchd,1959.0,2,2.0,532.0,3,3,2,0,0,0,0,0,0,0,3,NA,0,5,2010,COD,142000,11.863582336583399,7.080026499922591,6.2766434893416445,7.080867896690782,5.198497031265826
1942,535353130,20,RL,69.05520046484602,15783,Pave,NA,0,Lvl,0,Inside,0,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,292.0,1,0.0,632.0,925.0,GasA,3,Y,0,924,0,0,924,0.0,0.0,1,0,2,1,3,6,0,0,0,Detchd,1952.0,1,1.0,421.0,3,3,2,0,324,0,0,0,0,0,3,Shed,400,6,2007,WD ,112500,11.630708500626612,6.828712071641684,6.042632833682381,6.829793737512425,0.0
1956,535426130,60,RL,70.0,11606,Pave,NA,1,HLS,0,Inside,2,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,3,3,3,650.0,1,0.0,390.0,1041.0,GasA,3,Y,0,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,0,2,3,Attchd,1969.0,1,2.0,505.0,3,3,2,335,0,0,0,0,0,0,0,NA,0,9,2007,WD ,135000,11.813030057420567,7.640123172695364,6.22455842927536,6.947937068614969,5.262690188904886
